step,mean_reward,policy_loss
1,-1.0,0.0
2,-1.0,0.0
3,-1.0,0.0
4,-1.0,0.0
5,-1.0,0.0
6,-1.0,0.0
7,-1.0,0.0
8,-0.591876745223999,4.546903133392334
9,-1.0,0.0
10,-1.0,0.0
11,-1.0,0.0
12,-1.0,0.0
13,-1.0,0.0
14,-1.0,0.0
15,-1.0,0.0
16,-0.11203747987747192,-0.2309732437133789
17,-1.0,0.0
18,-1.0,0.0
19,-1.0,0.0
20,-1.0,0.0
21,-1.0,0.0
22,-1.0,0.0
23,-1.0,0.0
24,-1.0,0.0
25,-1.0,0.0
26,-1.0,0.0
27,-1.0,0.0
28,-0.5352177023887634,-0.8366074562072754
29,-1.0,0.0
30,-1.0,0.0
31,-1.0,0.0
32,-0.0709230899810791,-7.43865966796875e-05
33,-1.0,0.0
34,-1.0,0.0
35,-1.0,0.0
36,-0.018978554755449295,-0.17212533950805664
37,-1.0,0.0
38,-1.0,0.0
39,-1.0,0.0
40,-0.6089882254600525,3.388624429702759
41,-1.0,0.0
42,-1.0,0.0
43,-1.0,0.0
44,-0.4934212863445282,-4.229705810546875
45,-1.0,0.0
46,-1.0,0.0
47,-1.0,0.0
48,-0.5353657007217407,0.018057584762573242
49,-1.0,0.0
50,-0.5363324284553528,-9.400182723999023
