method,step,value
qwen_online_grpo_mean_reward,1.0,-0.4159383177757263
qwen_online_grpo_policy_loss,1.0,-1.582709550857544
qwen_online_grpo_mean_reward,2.0,0.3855266571044922
qwen_online_grpo_policy_loss,2.0,0.8906571865081787
qwen_online_grpo_mean_reward,3.0,0.26280635595321655
qwen_online_grpo_policy_loss,3.0,0.17918217182159424
qwen_online_grpo_mean_reward,4.0,0.10241948068141937
qwen_online_grpo_policy_loss,4.0,0.02763649821281433
qwen_online_grpo_mean_reward,5.0,0.16898095607757568
qwen_online_grpo_policy_loss,5.0,0.6172534227371216
qwen_online_grpo_mean_reward,6.0,0.20608165860176086
qwen_online_grpo_policy_loss,6.0,0.07526928186416626
qwen_online_grpo_mean_reward,7.0,0.3332536518573761
qwen_online_grpo_policy_loss,7.0,-0.0008575301617383957
qwen_online_grpo_mean_reward,8.0,0.11254509538412094
qwen_online_grpo_policy_loss,8.0,-0.016902685165405273
catp_llm_train_loss,1.0,2.68416
catp_llm_train_loss,2.0,2.583935
catp_llm_train_loss,3.0,2.448299
catp_llm_train_loss,4.0,2.593334
catp_llm_train_loss,5.0,2.517323
catp_llm_train_loss,6.0,2.383418
catp_llm_train_loss,7.0,2.675776
catp_llm_train_loss,8.0,2.666666
catp_llm_train_loss,9.0,2.519801
catp_llm_train_loss,10.0,2.598725
catp_llm_train_loss,11.0,2.465708
catp_llm_train_loss,12.0,2.297186
catp_llm_train_loss,13.0,2.41539
catp_llm_train_loss,14.0,2.414719
catp_llm_train_loss,15.0,2.275594
catp_llm_train_loss,16.0,2.348923
catp_llm_train_loss,17.0,2.085536
catp_llm_train_loss,18.0,2.051374
catp_llm_train_loss,19.0,2.000626
catp_llm_train_loss,20.0,2.256093
catp_llm_train_loss,21.0,2.073061
catp_llm_train_loss,22.0,1.922238
catp_llm_train_loss,23.0,2.100972
catp_llm_train_loss,24.0,2.295151
catp_llm_train_loss,25.0,2.110566
catp_llm_train_loss,26.0,1.963408
catp_llm_train_loss,27.0,1.998936
catp_llm_train_loss,28.0,1.827719
catp_llm_train_loss,29.0,1.675696
catp_llm_train_loss,30.0,1.638491
