method,task_id,n,valid_rate,mean_task_score,mean_cost_price,mean_exec_time_ms,mean_qop,mean_reward
catp_llm_offline,20,4,0.0,-2.0,2.0,0.0,-2.0,-1.0
catp_llm_offline,21,4,1.0,0.40007366240024567,0.017250273045707584,101.80202975869179,0.18482327139766924,0.18123149170139985
catp_llm_offline,31,4,0.0,-2.0,2.0,0.0,-2.0,-1.0
catp_llm_offline,36,4,1.0,0.5661917924880981,0.030141131879459448,102.63344724476337,0.25651348151085734,0.257761985579843
qwen_baseline,20,4,1.0,0.5785800069570541,0.04822969502401711,703.628090262413,0.246754714468446,0.19481234694027721
qwen_baseline,21,4,1.0,0.6306956261396408,0.03609494744379926,679.0063942596316,0.28351454063131243,0.2293996999219576
qwen_baseline,31,4,1.0,0.5752739459276199,0.046985465607846943,678.7776947617531,0.2461990091137841,0.19626647068371117
qwen_baseline,36,4,1.0,0.5661917924880981,0.01715061189075748,101.2138752490282,0.2679702307570534,0.2643992027737675
qwen_online_grpo,20,4,1.0,0.5785800069570541,0.0473149095781744,681.4694830104709,0.24756149260174662,0.19748560038839277
qwen_online_grpo,21,4,1.0,0.6775186955928802,0.019352262538253524,354.3160670027137,0.3216919771723118,0.293651609827042
qwen_online_grpo,31,4,1.0,0.5752739459276199,0.04721994927888373,681.4774489849806,0.24599221056963555,0.19587925342587004
qwen_online_grpo,36,4,1.0,0.5661917924880981,0.017300679239744002,102.09950400143862,0.2678378816294684,0.2642356062240332
