task_id,method,n,valid_rate,mean_task_score,mean_cost_price,mean_exec_time_ms,mean_qop,mean_reward
13,qwen_baseline,41,1.0,0.7596748674788126,0.07099258978961909,1144.4885816632247,0.31722682998643104,0.22989228067827427
13,qwen_online_grpo,41,1.0,0.7523303511666088,0.01749759404229506,103.26160501561513,0.3607334955944621,0.3570902180605954
13,catp_llm_offline,41,1.0,0.0,0.08064216750694,1414.5253987443157,-2.0,-0.1817736236279016
20,qwen_baseline,41,0.9512195121951219,0.42758389653229134,0.16353063451925293,1058.5140617286286,0.10683073785428067,0.07495571263853437
20,qwen_online_grpo,41,1.0,0.5551441857000676,0.01743723103275941,102.90537015112434,0.26219364890290475,0.25856294031854166
20,catp_llm_offline,41,0.3902439024390244,-1.0715436681014736,1.2365043553585802,284.46503567840995,-1.1605138535880115,-0.5727144177368922
21,qwen_baseline,41,0.2926829268292683,-1.2564719479258468,1.4332276116310196,354.1944561469846,-1.3519512105347786,-0.6729521522223999
21,qwen_online_grpo,41,1.0,0.5778876710228804,0.006474597470328174,104.51917941686584,0.28323368381988984,0.2752546188345895
21,catp_llm_offline,41,1.0,0.6503596858280462,0.07967731533990753,1150.1198180463257,0.2549099058173308,0.17032920343943672
31,qwen_baseline,41,1.0,0.5580706850784581,0.07121176380298778,1145.585226339538,0.21623144231200706,0.12887093800378135
31,qwen_online_grpo,41,1.0,0.5477500586974912,0.017452261765536825,102.9940746601035,0.25848332932437196,0.2548494909999668
31,catp_llm_offline,41,0.5853658536585366,-0.6134463852135147,0.8374383299463736,136.23320744241155,-0.7285627524605969,-0.32443153198272184
36,qwen_baseline,41,1.0,0.558995709186647,0.017453597061620734,103.00195495093742,0.2641049769292237,0.2604708605674194
36,qwen_online_grpo,41,1.0,0.558995709186647,0.017459525689914126,103.0369429995374,0.2640997482849669,0.2604643974484127
36,catp_llm_offline,41,1.0,0.4010681137442589,0.03590225264999896,526.5419430819953,0.16887072804908396,0.12992873623893042
40,qwen_baseline,38,1.0,0.88132974270143,0.013185856047808206,203.01156613073852,0.4290358490738884,0.41377078671373707
40,qwen_online_grpo,38,1.0,0.32417280824953004,0.006459309738337912,104.27238263425075,0.15638973516616977,0.148429510992171
40,catp_llm_offline,38,1.0,0.8811620183681187,0.08644861516365268,1504.4153336286545,0.36433924923355293,0.24691516823936754
51,qwen_baseline,41,1.0,0.7595332948172965,0.007337317283804831,109.70856431780791,0.3732956359069191,0.365127132334965
51,qwen_online_grpo,41,1.0,0.7595332948172965,0.006466080850068445,104.38169165646157,0.3740640067930845,0.3660954378179679
51,catp_llm_offline,41,1.0,0.6925217153095617,0.03482129790365894,600.6627110795276,0.3155508569114484,0.26878393759499863
61,qwen_baseline,41,1.0,0.562691991649023,0.0710671913120601,1143.1648921239666,0.2186695986362669,0.13149591095608473
61,qwen_online_grpo,41,1.0,0.5616159577195238,0.017496107228804087,103.25283049955601,0.26537761013862526,0.2617346421954042
61,catp_llm_offline,41,1.0,0.3672204751793931,0.019795002906932438,338.40454946930817,0.16615240027219993,0.1398722811892995
