method,step,value
qwen_online_grpo_mean_reward,1.0,-1.0
qwen_online_grpo_policy_loss,1.0,0.0
qwen_online_grpo_mean_reward,2.0,-1.0
qwen_online_grpo_policy_loss,2.0,0.0
qwen_online_grpo_mean_reward,3.0,-1.0
qwen_online_grpo_policy_loss,3.0,0.0
qwen_online_grpo_mean_reward,4.0,-0.3423217535018921
qwen_online_grpo_policy_loss,4.0,-3.9525749683380127
qwen_online_grpo_mean_reward,5.0,0.3188958168029785
qwen_online_grpo_policy_loss,5.0,0.004452109336853027
qwen_online_grpo_mean_reward,6.0,-1.0
qwen_online_grpo_policy_loss,6.0,0.0
qwen_online_grpo_mean_reward,7.0,-1.0
qwen_online_grpo_policy_loss,7.0,0.0
qwen_online_grpo_mean_reward,8.0,-1.0
qwen_online_grpo_policy_loss,8.0,0.0
qwen_online_grpo_mean_reward,9.0,0.10059995949268341
qwen_online_grpo_policy_loss,9.0,0.00154215469956398
qwen_online_grpo_mean_reward,10.0,0.3951929807662964
qwen_online_grpo_policy_loss,10.0,-0.004179269075393677
qwen_online_grpo_mean_reward,11.0,0.2748526334762573
qwen_online_grpo_policy_loss,11.0,0.4534032344818115
qwen_online_grpo_mean_reward,12.0,0.354215145111084
qwen_online_grpo_policy_loss,12.0,-0.004721540957689285
qwen_online_grpo_mean_reward,13.0,0.1778072714805603
qwen_online_grpo_policy_loss,13.0,0.00039449334144592285
qwen_online_grpo_mean_reward,14.0,0.33929502964019775
qwen_online_grpo_policy_loss,14.0,3.147639751434326
qwen_online_grpo_mean_reward,15.0,0.330602765083313
qwen_online_grpo_policy_loss,15.0,-7.832183361053467
qwen_online_grpo_mean_reward,16.0,0.2024175524711609
qwen_online_grpo_policy_loss,16.0,-0.08369231224060059
qwen_online_grpo_mean_reward,17.0,-1.0
qwen_online_grpo_policy_loss,17.0,0.0
qwen_online_grpo_mean_reward,18.0,-0.34336087107658386
qwen_online_grpo_policy_loss,18.0,-1.622065782546997
qwen_online_grpo_mean_reward,19.0,-1.0
qwen_online_grpo_policy_loss,19.0,0.0
qwen_online_grpo_mean_reward,20.0,0.31529438495635986
qwen_online_grpo_policy_loss,20.0,-0.0014120889827609062
qwen_online_grpo_mean_reward,21.0,0.31904137134552
qwen_online_grpo_policy_loss,21.0,0.003819018602371216
qwen_online_grpo_mean_reward,22.0,-0.45116209983825684
qwen_online_grpo_policy_loss,22.0,-2.4584484100341797
qwen_online_grpo_mean_reward,23.0,0.09904806315898895
qwen_online_grpo_policy_loss,23.0,-0.00038797687739133835
qwen_online_grpo_mean_reward,24.0,0.08931030333042145
qwen_online_grpo_policy_loss,24.0,-0.032674625515937805
qwen_online_grpo_mean_reward,25.0,0.10049344599246979
qwen_online_grpo_policy_loss,25.0,-4.62033785879612e-05
qwen_online_grpo_mean_reward,26.0,0.2057846188545227
qwen_online_grpo_policy_loss,26.0,0.000632015522569418
qwen_online_grpo_mean_reward,27.0,0.3393152058124542
qwen_online_grpo_policy_loss,27.0,-0.00020999601110816002
qwen_online_grpo_mean_reward,28.0,0.3542174696922302
qwen_online_grpo_policy_loss,28.0,-0.000496068736538291
qwen_online_grpo_mean_reward,29.0,0.30685892701148987
qwen_online_grpo_policy_loss,29.0,0.07991629838943481
qwen_online_grpo_mean_reward,30.0,0.20576491951942444
qwen_online_grpo_policy_loss,30.0,0.00041543389670550823
qwen_online_grpo_mean_reward,31.0,0.339779257774353
qwen_online_grpo_policy_loss,31.0,0.0003708943258970976
qwen_online_grpo_mean_reward,32.0,0.20579871535301208
qwen_online_grpo_policy_loss,32.0,-0.0004012398421764374
qwen_online_grpo_mean_reward,33.0,0.3181493282318115
qwen_online_grpo_policy_loss,33.0,0.004706304520368576
qwen_online_grpo_mean_reward,34.0,0.3134620487689972
qwen_online_grpo_policy_loss,34.0,-0.0001652736682444811
qwen_online_grpo_mean_reward,35.0,-1.0
qwen_online_grpo_policy_loss,35.0,0.0
qwen_online_grpo_mean_reward,36.0,0.31525617837905884
qwen_online_grpo_policy_loss,36.0,-4.7977548092603683e-05
qwen_online_grpo_mean_reward,37.0,0.3188261091709137
qwen_online_grpo_policy_loss,37.0,-0.0003868606872856617
qwen_online_grpo_mean_reward,38.0,0.0973890870809555
qwen_online_grpo_policy_loss,38.0,0.00090060755610466
qwen_online_grpo_mean_reward,39.0,0.0989973247051239
qwen_online_grpo_policy_loss,39.0,9.548710659146309e-05
qwen_online_grpo_mean_reward,40.0,0.08943118155002594
qwen_online_grpo_policy_loss,40.0,-0.004379555583000183
qwen_online_grpo_mean_reward,41.0,0.10044685006141663
qwen_online_grpo_policy_loss,41.0,-0.0007633240893483162
qwen_online_grpo_mean_reward,42.0,0.2058338224887848
qwen_online_grpo_policy_loss,42.0,0.00030757253989577293
qwen_online_grpo_mean_reward,43.0,0.33924001455307007
qwen_online_grpo_policy_loss,43.0,-6.0356687754392624e-05
qwen_online_grpo_mean_reward,44.0,0.3542855978012085
qwen_online_grpo_policy_loss,44.0,-0.001339958980679512
qwen_online_grpo_mean_reward,45.0,0.3067728281021118
qwen_online_grpo_policy_loss,45.0,-0.00028557050973176956
qwen_online_grpo_mean_reward,46.0,0.2058177888393402
qwen_online_grpo_policy_loss,46.0,0.003899139352142811
qwen_online_grpo_mean_reward,47.0,0.33986660838127136
qwen_online_grpo_policy_loss,47.0,-0.0019998978823423386
qwen_online_grpo_mean_reward,48.0,0.20574411749839783
qwen_online_grpo_policy_loss,48.0,-7.954426109790802e-05
qwen_online_grpo_mean_reward,49.0,0.31808584928512573
qwen_online_grpo_policy_loss,49.0,-0.005064142867922783
qwen_online_grpo_mean_reward,50.0,0.31340834498405457
qwen_online_grpo_policy_loss,50.0,0.005790628492832184
catp_llm_train_loss,1.0,1.306612
catp_llm_train_loss,2.0,1.22348
catp_llm_train_loss,3.0,1.28991
catp_llm_train_loss,4.0,1.299849
catp_llm_train_loss,5.0,1.319811
catp_llm_train_loss,6.0,1.394118
catp_llm_train_loss,7.0,1.401767
catp_llm_train_loss,8.0,1.221589
catp_llm_train_loss,9.0,1.304923
catp_llm_train_loss,10.0,1.304003
catp_llm_train_loss,11.0,1.374654
catp_llm_train_loss,12.0,1.356782
catp_llm_train_loss,13.0,1.463507
catp_llm_train_loss,14.0,1.474557
catp_llm_train_loss,15.0,1.254227
catp_llm_train_loss,16.0,1.283134
catp_llm_train_loss,17.0,1.332971
catp_llm_train_loss,18.0,1.356313
catp_llm_train_loss,19.0,1.212648
catp_llm_train_loss,20.0,1.207332
catp_llm_train_loss,21.0,1.284239
catp_llm_train_loss,22.0,5.113391
catp_llm_train_loss,23.0,1.255912
catp_llm_train_loss,24.0,1.228301
catp_llm_train_loss,25.0,1.263136
catp_llm_train_loss,26.0,1.366956
catp_llm_train_loss,27.0,1.390177
catp_llm_train_loss,28.0,1.524612
catp_llm_train_loss,29.0,1.518628
catp_llm_train_loss,30.0,1.504325
catp_llm_train_loss,31.0,1.490204
