policy,condition,seed,task_idx,category,n_available_tools,n_required_tools,n_tool_calls,required_tool_recall,required_tool_hit,all_required_tools_hit,mean_latency_ms,total_latency_ms,timeout_rate,timeout_events,proxy_utility
random,normal,1,0,Single-Tool,8,4,2,0.25,1.0,0.0,553.0362277551799,1106.0724555103598,0.0,0,0.2168178263346892
random,normal,1,1,Single-Tool,4,2,2,0.0,0.0,0.0,1044.788528272149,2089.577056544298,0.0,0,-0.06268731169632893
random,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,1054.8813652931321,2109.7627305862643,0.0,0,0.4367071180824121
latency_aware,normal,1,0,Single-Tool,8,4,2,0.25,1.0,0.0,128.09692700064846,256.1938540012969,0.0,0,0.2423141843799611
latency_aware,normal,1,1,Single-Tool,4,2,2,1.0,1.0,1.0,263.8553969369421,527.7107938738842,0.0,0,0.9841686761837835
latency_aware,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,769.12332586853,1538.24665173706,0.0,0,0.4538526004478882
slow,normal,1,0,Single-Tool,8,4,2,0.25,1.0,0.0,1222.1258463337417,2444.2516926674834,0.0,0,0.1766724492199755
slow,normal,1,1,Single-Tool,4,2,2,0.0,0.0,0.0,983.625218482807,1967.250436965614,0.0,0,-0.05901751310896842
slow,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,1583.4380106653011,3166.8760213306023,0.0,0,0.40499371936008194
gold_oracle,normal,1,0,Single-Tool,8,4,2,0.5,1.0,0.0,208.0966071633067,416.1932143266134,0.0,0,0.4875142035702016
gold_oracle,normal,1,1,Single-Tool,4,2,2,1.0,1.0,1.0,262.0140718636824,524.0281437273647,0.0,0,0.984279155688179
gold_oracle,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,721.9362757137363,1443.8725514274727,0.0,0,0.45668382345717584
qwen_no_latency,normal,1,0,Single-Tool,8,4,2,0.5,1.0,0.0,1070.730005203686,2141.460010407372,0.0,0,0.43575619968777884
qwen_no_latency,normal,1,1,Single-Tool,4,2,2,1.0,1.0,1.0,273.3741845499344,546.7483690998688,0.0,0,0.9835975489270039
qwen_no_latency,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,1731.9442071910153,3463.8884143820305,0.0,0,0.3960833475685391
qwen_latency,normal,1,0,Single-Tool,8,4,2,0.5,1.0,0.0,800.435918728517,1600.871837457034,0.0,0,0.451973844876289
qwen_latency,normal,1,1,Single-Tool,4,2,2,1.0,1.0,1.0,198.45163841557888,396.90327683115777,0.0,0,0.9880929016950653
qwen_latency,normal,1,2,Single-Tool,4,4,2,0.5,1.0,0.0,718.1117641218818,1436.2235282437637,0.0,0,0.4569132941526871
