policy,condition,seed,n_tasks,mean_required_tool_recall,required_tool_hit_rate,all_required_tools_hit_rate,mean_tool_calls,mean_latency_ms,mean_total_latency_ms,timeout_rate,mean_proxy_utility
random,normal,1,32,0.340625,0.75,0.0625,2.0,667.7149972987876,1335.4299945975752,0.0,0.30056210016207274
latency_aware,normal,1,32,0.5239583333333333,0.875,0.25,2.0,256.254192151512,512.508384303024,0.0,0.5085830818042426
slow,normal,1,32,0.37604166666666666,0.71875,0.09375,2.0,996.2303365513527,1992.4606731027054,0.0,0.3162678464735855
gold_oracle,normal,1,32,0.753125,1.0,0.46875,2.0,339.81770983471625,679.6354196694325,0.0,0.732735937409917
qwen_no_latency,normal,1,32,0.6984375,1.0,0.375,1.96875,521.7669349182812,1039.636899432445,0.0,0.6672483930170267
qwen_latency,normal,1,32,0.6880208333333333,1.0,0.375,1.875,426.6913875042327,820.6427871909154,0.0,0.6634015497176059
random,degraded_2x,1,32,0.4161458333333333,0.8125,0.125,2.0,1238.6905651893032,2477.3811303786065,0.0,0.3418243994219751
latency_aware,degraded_2x,1,32,0.5239583333333333,0.875,0.25,2.0,500.37077687392076,1000.7415537478415,0.0,0.4939360867208981
slow,degraded_2x,1,32,0.37604166666666666,0.71875,0.09375,2.0,2010.001413320511,4020.002826641022,0.0,0.25544158186743604
gold_oracle,degraded_2x,1,32,0.753125,1.0,0.46875,2.0,669.8249872314509,1339.6499744629018,0.0,0.7129355007661129
qwen_no_latency,degraded_2x,1,32,0.6984375,1.0,0.375,1.96875,1009.150589994782,2010.2968381492956,0.0,0.6381285948555211
qwen_latency,degraded_2x,1,32,0.7036458333333333,1.0,0.40625,1.875,895.1433706020806,1726.7461243006169,0.0,0.6518434496043148
random,degraded_5x_timeout,1,32,0.28854166666666664,0.59375,0.03125,2.0,2911.6427122715518,5823.2854245431035,0.328125,-0.21428189606962644
latency_aware,degraded_5x_timeout,1,32,0.5239583333333333,0.875,0.25,2.0,1308.7282300634922,2617.4564601269844,0.171875,0.2735596395295238
slow,degraded_5x_timeout,1,32,0.37604166666666666,0.71875,0.09375,2.0,4824.602331216215,9649.20466243243,0.453125,-0.3665594732063062
gold_oracle,degraded_5x_timeout,1,32,0.753125,1.0,0.46875,2.0,1705.6023649917045,3411.204729983409,0.21875,0.43203885810049775
qwen_no_latency,degraded_5x_timeout,1,32,0.6984375,1.0,0.375,1.96875,2477.0018271161443,4936.786466038126,0.2857142857142857,0.26908390601885623
qwen_latency,degraded_5x_timeout,1,32,0.6880208333333333,1.0,0.375,1.84375,2191.496274163627,4215.93298043414,0.23728813559322035,0.3427928439203092
random,normal,2,32,0.4473958333333333,0.84375,0.15625,2.0,559.9243449921365,1119.848689984273,0.0,0.41380037263380515
latency_aware,normal,2,32,0.5239583333333333,0.875,0.25,2.0,255.46552851683276,510.9310570336655,0.0,0.5086304016223233
slow,normal,2,32,0.37604166666666666,0.71875,0.09375,2.0,1021.1672007273548,2042.3344014547097,0.0,0.3147716346230254
gold_oracle,normal,2,32,0.753125,1.0,0.46875,2.0,337.14375816093195,674.2875163218639,0.0,0.7328963745103441
qwen_no_latency,normal,2,32,0.6984375,1.0,0.375,1.96875,520.1504870192033,1036.6620144671363,0.0,0.6673376395659859
qwen_latency,normal,2,32,0.6880208333333333,1.0,0.375,1.875,453.5155388243547,871.1757046367188,0.0,0.6618855621942318
random,degraded_2x,2,32,0.39010416666666664,0.75,0.09375,2.0,1227.6948751241093,2455.3897502482187,0.0,0.3164424741592201
latency_aware,degraded_2x,2,32,0.5239583333333333,0.875,0.25,2.0,478.4944120763516,956.9888241527032,0.0,0.4952486686087522
slow,degraded_2x,2,32,0.37604166666666666,0.71875,0.09375,2.0,2050.4688668775166,4100.937733755033,0.0,0.25301353465401566
gold_oracle,degraded_2x,2,32,0.753125,1.0,0.46875,2.0,705.8677030958744,1411.7354061917488,0.0,0.7107729378142476
qwen_no_latency,degraded_2x,2,32,0.6984375,1.0,0.375,1.96875,971.1784822808353,1933.7668827959778,0.0,0.6404244935161206
qwen_latency,degraded_2x,2,32,0.7036458333333333,1.0,0.40625,1.875,929.2320517735554,1798.4749312060603,0.0,0.6496915853971515
random,degraded_5x_timeout,2,32,0.4666666666666667,0.875,0.09375,2.0,3034.7218404231394,6069.443680846279,0.3125,-0.027916643758721688
latency_aware,degraded_5x_timeout,2,32,0.5239583333333333,0.875,0.25,2.0,1274.6235378459792,2549.2470756919583,0.09375,0.3537309210625746
slow,degraded_5x_timeout,2,32,0.37604166666666666,0.71875,0.09375,2.0,4967.2646537287455,9934.529307457491,0.546875,-0.46886921255705805
gold_oracle,degraded_5x_timeout,2,32,0.753125,1.0,0.46875,2.0,1521.8806511101952,3043.7613022203905,0.140625,0.5211871609333882
qwen_no_latency,degraded_5x_timeout,2,32,0.6984375,1.0,0.375,1.96875,2430.067340746278,4839.032643838973,0.2857142857142857,0.2720165206848308
qwen_latency,degraded_5x_timeout,2,32,0.6880208333333333,1.0,0.375,1.84375,2232.0117418569203,4286.123558038254,0.3559322033898305,0.23131212659218572
random,normal,3,32,0.3953125,0.78125,0.125,2.0,595.8978823188099,1191.7957646376199,0.0,0.3595586270608714
latency_aware,normal,3,32,0.5239583333333333,0.875,0.25,2.0,258.6188334625459,517.2376669250918,0.0,0.5084412033255806
slow,normal,3,32,0.37604166666666666,0.71875,0.09375,2.0,1034.2305248567645,2068.461049713529,0.0,0.3139878351752608
gold_oracle,normal,3,32,0.753125,1.0,0.46875,2.0,339.69156044237803,679.3831208847561,0.0,0.7327435063734573
qwen_no_latency,normal,3,32,0.6984375,1.0,0.375,1.96875,494.2678153082775,983.8449513770128,0.0,0.6689221514586896
qwen_latency,normal,3,32,0.6880208333333333,1.0,0.375,1.875,472.49370867911796,911.4150651069698,0.0,0.6606783813801242
random,degraded_2x,3,32,0.4432291666666667,0.84375,0.15625,2.0,1231.6240598890433,2463.2481197780867,0.0,0.36933172307332407
