policy,condition,seed,task_idx,category,n_available_tools,n_required_tools,n_tool_calls,required_tool_recall,required_tool_hit,all_required_tools_hit,mean_latency_ms,total_latency_ms,timeout_rate,timeout_events,proxy_utility
random,normal,1,0,Single-Tool,8,4,8,1.0,1.0,1.0,673.0359930575495,5384.287944460396,0.0,0,0.8384713616661881
random,normal,1,1,Single-Tool,4,2,4,1.0,1.0,1.0,782.1772949602115,3128.709179840846,0.0,0,0.9061387246047746
random,normal,1,2,Single-Tool,4,4,4,1.0,1.0,1.0,1004.4434790530017,4017.773916212007,0.0,0,0.8794667825136397
random,normal,1,3,Single-Tool,3,2,3,1.0,1.0,1.0,765.1132302339798,2295.3396907019396,0.0,0,0.9311398092789418
random,normal,1,4,Single-Tool,5,5,5,1.0,1.0,1.0,630.5153983489791,3152.5769917448956,0.0,0,0.9054226902476531
random,normal,1,5,Single-Tool,6,3,6,1.0,1.0,1.0,524.6120713975885,3147.6724283855306,0.0,0,0.905569827148434
random,normal,1,6,Single-Tool,7,2,7,1.0,1.0,1.0,658.0490829584406,4606.343580709085,0.0,0,0.8618096925787275
random,normal,1,7,Single-Tool,4,2,4,1.0,1.0,1.0,762.1037255178147,3048.414902071259,0.0,0,0.9085475529378623
random,normal,1,8,Single-Tool,3,2,3,1.0,1.0,1.0,932.237363609036,2796.712090827108,0.0,0,0.9160986372751868
random,normal,1,9,Single-Tool,10,3,8,1.0,1.0,1.0,376.84392750134845,3014.7514200107876,0.0,0,0.9095574573996764
random,normal,1,10,Single-Tool,5,2,5,1.0,1.0,1.0,684.5371220278935,3422.6856101394674,0.0,0,0.897319431695816
random,normal,1,11,Single-Tool,7,2,7,1.0,1.0,1.0,794.2186020267493,5559.530214187245,0.0,0,0.8332140935743826
random,normal,1,12,Single-Tool,9,6,8,0.8333333333333334,1.0,0.0,472.61945008319077,3780.955600665526,0.0,0,0.7199046653133676
random,normal,1,13,Single-Tool,4,2,4,1.0,1.0,1.0,553.8247586368375,2215.29903454735,0.0,0,0.9335410289635795
random,normal,1,14,Single-Tool,5,1,5,1.0,1.0,1.0,115.83272026711086,579.1636013355543,0.0,0,0.9826250919599334
random,normal,1,15,Single-Tool,4,4,4,1.0,1.0,1.0,360.4453709290553,1441.7814837162211,0.0,0,0.9567465554885134
random,normal,1,16,Single-Tool,5,1,5,1.0,1.0,1.0,627.5904329695205,3137.9521648476025,0.0,0,0.905861435054572
random,normal,1,17,Single-Tool,5,3,5,1.0,1.0,1.0,137.1684920179452,685.842460089726,0.0,0,0.9794247261973082
random,normal,1,18,Single-Tool,7,2,7,1.0,1.0,1.0,621.1369345363549,4347.958541754485,0.0,0,0.8695612437473654
random,normal,1,19,Single-Tool,5,5,5,1.0,1.0,1.0,577.5711732480669,2887.8558662403343,0.0,0,0.91336432401279
random,normal,1,20,Single-Tool,5,3,5,1.0,1.0,1.0,769.0018443932568,3845.009221966284,0.0,0,0.8846497233410116
random,normal,1,21,Single-Tool,3,1,3,1.0,1.0,1.0,976.3801938986485,2929.1405816959455,0.0,0,0.9121257825491216
random,normal,1,22,Single-Tool,4,3,4,1.0,1.0,1.0,293.2725506846372,1173.090202738549,0.0,0,0.9648072939178436
random,normal,1,23,Single-Tool,4,1,4,1.0,1.0,1.0,569.0254807210438,2276.101922884175,0.0,0,0.9317169423134748
random,normal,1,24,Single-Tool,6,2,6,1.0,1.0,1.0,290.2458139632727,1741.4748837796365,0.0,0,0.9477557534866109
random,normal,1,25,Single-Tool,7,5,7,1.0,1.0,1.0,444.4634894785131,3111.244426349592,0.0,0,0.9066626672095123
random,normal,1,26,Single-Tool,3,3,3,1.0,1.0,1.0,206.11422767332328,618.3426830199699,0.0,0,0.9814497195094009
random,normal,1,27,Single-Tool,4,3,4,1.0,1.0,1.0,728.3299483713886,2913.3197934855543,0.0,0,0.9126004061954334
random,normal,1,28,Single-Tool,6,5,6,1.0,1.0,1.0,793.7584126786466,4762.5504760718795,0.0,0,0.8571234857178436
random,normal,1,29,Single-Tool,5,4,5,1.0,1.0,1.0,616.0147710038034,3080.0738550190167,0.0,0,0.9075977843494295
random,normal,1,30,Single-Tool,5,1,5,1.0,1.0,1.0,766.5613306116869,3832.8066530584347,0.0,0,0.885015800408247
random,normal,1,31,Single-Tool,6,4,6,1.0,1.0,1.0,635.7255433284711,3814.3532599708265,0.0,0,0.8855694022008752
latency_aware,normal,1,0,Single-Tool,8,4,8,1.0,1.0,1.0,642.1820131063068,5137.456104850455,0.0,0,0.8458763168544864
latency_aware,normal,1,1,Single-Tool,4,2,4,1.0,1.0,1.0,791.9222076745667,3167.688830698267,0.0,0,0.904969335079052
latency_aware,normal,1,2,Single-Tool,4,4,4,1.0,1.0,1.0,1112.9651974648446,4451.860789859378,0.0,0,0.8664441763042187
latency_aware,normal,1,3,Single-Tool,3,2,3,1.0,1.0,1.0,619.549770126103,1858.649310378309,0.0,0,0.9442405206886507
latency_aware,normal,1,4,Single-Tool,5,5,5,1.0,1.0,1.0,690.325078287853,3451.625391439265,0.0,0,0.896451238256822
latency_aware,normal,1,5,Single-Tool,6,3,6,1.0,1.0,1.0,545.5634124923366,3273.3804749540195,0.0,0,0.9017985857513794
latency_aware,normal,1,6,Single-Tool,7,2,7,1.0,1.0,1.0,887.7041227815246,6213.928859470672,0.0,0,0.8135821342158798
latency_aware,normal,1,7,Single-Tool,4,2,4,1.0,1.0,1.0,782.8343034140463,3131.337213656185,0.0,0,0.9060598835903144
latency_aware,normal,1,8,Single-Tool,3,2,3,1.0,1.0,1.0,847.0165955878869,2541.0497867636604,0.0,0,0.9237685063970902
latency_aware,normal,1,9,Single-Tool,10,3,8,1.0,1.0,1.0,324.8116089287863,2598.4928714302905,0.0,0,0.9220452138570913
latency_aware,normal,1,10,Single-Tool,5,2,5,1.0,1.0,1.0,728.9082058455419,3644.5410292277097,0.0,0,0.8906637691231687
latency_aware,normal,1,11,Single-Tool,7,2,7,1.0,1.0,1.0,758.793948843191,5311.557641902336,0.0,0,0.84065327074293
