policy,condition,seed,n_tasks,mean_required_tool_recall,required_tool_hit_rate,all_required_tools_hit_rate,mean_tool_calls,mean_latency_ms,mean_total_latency_ms,timeout_rate,mean_proxy_utility
random,normal,1,32,0.9947916666666666,1.0,0.96875,5.15625,598.2178196933552,3023.409833828976,0.0,0.9040893716517974
latency_aware,normal,1,32,0.9947916666666666,1.0,0.96875,5.15625,595.4975170927678,3025.450025271405,0.0,0.9040281659085245
slow,normal,1,32,0.984375,1.0,0.9375,5.15625,602.5049514434367,3065.25710358193,0.0,0.8924172868925421
gold_oracle,normal,1,32,1.0,1.0,1.0,5.15625,597.8873298607891,3016.893840719287,0.0,0.9094931847784213
qwen_no_latency,normal,1,32,0.8890625,1.0,0.6875,3.15625,519.8546848922152,1742.5599679793045,0.0,0.8367857009606209
qwen_latency,normal,1,32,0.8911458333333333,1.0,0.6875,2.96875,475.7087234884471,1524.7663097445402,0.0,0.8454028440409971
random,degraded_2x,1,32,1.0,1.0,1.0,5.15625,1217.8690548270483,6160.975480717123,0.0,0.8151707355784863
latency_aware,degraded_2x,1,32,0.9947916666666666,1.0,0.96875,5.15625,1197.064801309949,5999.503597726528,0.0,0.8148065587348708
slow,degraded_2x,1,32,0.984375,1.0,0.9375,5.15625,1199.7017457090242,6091.044952784708,0.0,0.8016436514164588
gold_oracle,degraded_2x,1,32,1.0,1.0,1.0,5.15625,1170.3874716370456,5910.007766378844,0.0,0.8226997670086347
qwen_no_latency,degraded_2x,1,32,0.8890625,1.0,0.6875,3.15625,998.38594910786,3329.4780424669757,0.0,0.7891781587259907
qwen_latency,degraded_2x,1,32,0.8703125,1.0,0.625,2.84375,974.0253290910165,2970.3734373528964,0.0,0.7812012968794131
random,degraded_5x_timeout,1,32,1.0,1.0,1.0,5.15625,3022.003881587495,15266.30284918886,0.3333333333333333,-0.31736408547566575
latency_aware,degraded_5x_timeout,1,32,0.9947916666666666,1.0,0.96875,5.15625,3015.79086093376,15083.587562693025,0.32727272727272727,-0.3014659602141241
slow,degraded_5x_timeout,1,32,0.984375,1.0,0.9375,5.15625,2941.6886192242546,14918.079889645884,0.26666666666666666,-0.1506673966893765
gold_oracle,degraded_5x_timeout,1,32,1.0,1.0,1.0,5.15625,2941.824245584727,14824.084713028707,0.30303030303030304,-0.2259725413908612
qwen_no_latency,degraded_5x_timeout,1,32,0.8890625,1.0,0.6875,3.15625,2538.0604179047705,8530.837021565394,0.2871287128712871,0.18001238935303818
qwen_latency,degraded_5x_timeout,1,32,0.8973958333333333,1.0,0.6875,2.96875,2382.3890490244044,7611.134704392362,0.2736842105263158,0.2628117922015625
random,normal,2,32,0.984375,1.0,0.9375,5.15625,616.0771030687177,3085.116756469837,0.0,0.8918214973059049
latency_aware,normal,2,32,0.9947916666666666,1.0,0.96875,5.15625,596.1669956016184,2994.4598230211686,0.0,0.9049578719760316
slow,normal,2,32,0.984375,1.0,0.9375,5.15625,600.5749665819854,3076.6264061316833,0.0,0.8920762078160495
gold_oracle,normal,2,32,1.0,1.0,1.0,5.15625,598.4997009169011,3040.3459868594714,0.0,0.9087896203942158
qwen_no_latency,normal,2,32,0.8890625,1.0,0.6875,3.15625,519.7571560998181,1742.412883845332,0.0,0.83679011348464
qwen_latency,normal,2,32,0.8911458333333333,1.0,0.6875,2.96875,484.01182942175126,1542.1787591728762,0.0,0.8448804705581471
random,degraded_2x,2,32,0.9947916666666666,1.0,0.96875,5.15625,1195.6864079162785,6094.84136485446,0.0,0.8119464257210329
latency_aware,degraded_2x,2,32,0.9947916666666666,1.0,0.96875,5.15625,1174.7106621603061,5942.562227565653,0.0,0.8165147998396971
slow,degraded_2x,2,32,0.984375,1.0,0.9375,5.15625,1201.7076551582823,6188.844484722485,0.0,0.7987096654583254
gold_oracle,degraded_2x,2,32,1.0,1.0,1.0,5.15625,1220.9382150607669,6120.434991229133,0.0,0.816386950263126
