policy,w_latency,seed,expected_reward,normalized_score,success_prob,latency_s,timeout_prob
random,0.3,1,0.10720034839026414,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.3,1,0.01686295665577839,-0.7535647378647273,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.3,1,0.22708041601453008,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.3,1,0.18325048582111286,0.6343851729314071,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.3,1,0.22708041601453008,1.0,0.7339368143443794,1.4147305759814748,0.08243722553540692
grpo_rl,0.3,1,0.22333712902891967,0.9687747341172446,0.7124342674831744,1.4028764003607197,0.06823421834603885
random,0.3,2,0.08332713219933255,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.3,2,0.05276598365647012,-0.2524861246864715,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.3,2,0.19786826822655673,0.9463010695471427,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.3,2,0.1660033401951937,0.6830435489481275,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.3,2,0.20436803526207392,1.0,0.7354737939344497,1.5599702514664722,0.0631146832324341
grpo_rl,0.3,2,0.19758223537455166,0.9439379605090615,0.6849649331675598,1.2140732663837117,0.12316071787789462
random,0.3,3,0.19853680507098145,0.0,0.7041555621015494,1.359471709776106,0.0977772440977362
latency_greedy,0.3,3,0.0920530796390695,-0.8497150675967914,0.5055426931251031,0.7917315896249929,0.17597013659853578
quality_greedy,0.3,3,0.22670473222548573,0.22477342926413185,0.839361366641743,1.796080704297156,0.07383242312711051
reliability_greedy,0.3,3,0.2981598839960528,0.7949687231514581,0.8245492252088521,1.6752822561105427,0.023804664379636523
oracle,0.3,3,0.323853784247395,1.0,0.824431204709582,1.5457455207974213,0.036853764222960606
grpo_rl,0.3,3,0.27396348860806363,0.601887182669007,0.7567113579824375,1.4023963281425857,0.06202897093159807
random,0.3,4,0.10821793466041557,0.0,0.6051247058042809,1.2832879031215205,0.11192040020740918
latency_greedy,0.3,4,0.026772357811945632,-0.5741164010575077,0.4702189241854928,0.8952756326031169,0.1748638765926121
quality_greedy,0.3,4,0.24729736961341753,0.980382087598036,0.7997027648441591,1.5413436413821435,0.09000230281609858
reliability_greedy,0.3,4,0.13577410116615782,0.1942456269989005,0.6417975305722976,1.5048809474530056,0.05455914517023809
oracle,0.3,4,0.25008041533236514,1.0,0.8003545622921968,1.5393635570648827,0.08846507984036686
grpo_rl,0.3,4,0.25008041533236514,1.0,0.8003545622921968,1.5393635570648827,0.08846507984036686
random,0.3,5,0.16516971722951052,0.0,0.6843655016864029,1.4688408853426331,0.07854351885410245
latency_greedy,0.3,5,0.050701972612748655,-0.9796093504556823,0.5066207469431785,1.1108803597081112,0.12265466641799652
quality_greedy,0.3,5,0.27986839406714537,0.9815856570881408,0.809254064890463,1.5744826261833977,0.057040882968298345
reliability_greedy,0.3,5,0.26607826975670756,0.8635704488416691,0.7843444870431935,1.642772549721364,0.025434452370076736
oracle,0.3,5,0.28202011740537164,1.0,0.7929554904549708,1.5957986429018756,0.032195780179036466
grpo_rl,0.3,5,0.24624264439723614,0.6938181387972141,0.7670545851557009,1.4895154661810515,0.07395730090414943
