policy,condition,seed,n_tasks,mean_required_tool_recall,required_tool_hit_rate,all_required_tools_hit_rate,mean_tool_calls,mean_latency_ms,mean_total_latency_ms,timeout_rate,mean_proxy_utility
random,normal,1,256,0.4494140625,0.828125,0.11328125,2.0,621.7831884623107,1243.5663769246214,0.0,0.41210707119226136
latency_aware,normal,1,256,0.47890625,0.84375,0.1328125,2.0,288.03793387443415,576.0758677488683,0.0,0.46162397396753396
slow,normal,1,256,0.46627604166666664,0.8046875,0.12890625,2.0,1019.4496532662392,2038.8993065324785,0.0,0.4051090624706923
gold_oracle,normal,1,256,0.771875,1.0,0.4375,2.0,435.8512157127478,871.7024314254955,0.0,0.7457239270572351
random,degraded_2x,1,256,0.47682291666666665,0.83984375,0.15234375,2.0,1258.0114630401863,2516.0229260803726,0.0,0.40134222888425547
latency_aware,degraded_2x,1,256,0.47890625,0.84375,0.1328125,2.0,570.9348043581587,1141.8696087163173,0.0,0.44465016173851046
slow,degraded_2x,1,256,0.46627604166666664,0.8046875,0.12890625,2.0,2041.231681579089,4082.463363158178,0.0,0.34380214077192134
gold_oracle,degraded_2x,1,256,0.771875,1.0,0.4375,2.0,883.8122855696535,1767.624571139307,0.0,0.7188462628658208
random,degraded_5x_timeout,1,256,0.4443359375,0.8046875,0.109375,2.0,3157.61628638944,6315.23257277888,0.3515625,-0.09668353968336642
latency_aware,degraded_5x_timeout,1,256,0.47890625,0.84375,0.1328125,2.0,1423.7364845095046,2847.4729690190093,0.1796875,0.21379456092942972
slow,degraded_5x_timeout,1,256,0.46627604166666664,0.8046875,0.12890625,2.0,4993.723377872543,9987.446755745086,0.5625,-0.3958473610056859
gold_oracle,degraded_5x_timeout,1,256,0.771875,1.0,0.4375,2.0,2178.905926303243,4357.811852606486,0.244140625,0.3970000194218054
random,normal,2,256,0.4763671875,0.83984375,0.12890625,2.0,647.456076342122,1294.912152684244,0.0,0.43751982291947267
latency_aware,normal,2,256,0.47890625,0.84375,0.1328125,2.0,288.24759844020735,576.4951968804147,0.0,0.46161139409358753
slow,normal,2,256,0.46627604166666664,0.8046875,0.12890625,2.0,1011.1334599599662,2022.2669199199324,0.0,0.4056080340690687
gold_oracle,normal,2,256,0.771875,1.0,0.4375,2.0,434.38560643118683,868.7712128623737,0.0,0.7458118636141288
random,degraded_2x,2,256,0.48606770833333335,0.84375,0.15234375,2.0,1296.0087568098422,2592.0175136196845,0.0,0.4083071829247428
latency_aware,degraded_2x,2,256,0.47890625,0.84375,0.1328125,2.0,574.7515092822707,1149.5030185645414,0.0,0.44442115944306376
slow,degraded_2x,2,256,0.46627604166666664,0.8046875,0.12890625,2.0,2043.7203270398181,4087.4406540796363,0.0,0.3436528220442776
gold_oracle,degraded_2x,2,256,0.771875,1.0,0.4375,2.0,875.1368834460998,1750.2737668921995,0.0,0.719366786993234
random,degraded_5x_timeout,2,256,0.47174479166666666,0.8359375,0.11328125,2.0,3011.2056256896235,6022.411251379247,0.30078125,-0.00970879587471074
latency_aware,degraded_5x_timeout,2,256,0.47890625,0.84375,0.1328125,2.0,1442.9575102957865,2885.915020591573,0.14453125,0.2477975493822528
slow,degraded_5x_timeout,2,256,0.46627604166666664,0.8046875,0.12890625,2.0,5031.171390165217,10062.342780330435,0.568359375,-0.40395361674324637
gold_oracle,degraded_5x_timeout,2,256,0.771875,1.0,0.4375,2.0,2179.322780079337,4358.645560158674,0.2421875,0.3989281331952398
random,normal,3,256,0.4720703125,0.84765625,0.12890625,2.0,617.8235393369441,1235.6470786738882,0.0,0.4350009001397833
latency_aware,normal,3,256,0.47890625,0.84375,0.1328125,2.0,286.31554017636086,572.6310803527217,0.0,0.4617273175894183
slow,normal,3,256,0.46627604166666664,0.8046875,0.12890625,2.0,1017.0833196605927,2034.1666393211854,0.0,0.4052510424870311
gold_oracle,normal,3,256,0.771875,1.0,0.4375,2.0,432.43701841158736,864.8740368231747,0.0,0.7459287788953047
random,degraded_2x,3,256,0.48671875,0.828125,0.1796875,2.0,1246.6030810546984,2493.2061621093967,0.0,0.4119225651367181
latency_aware,degraded_2x,3,256,0.47890625,0.84375,0.1328125,2.0,567.7443064564599,1135.4886129129197,0.0,0.4448415916126124
slow,degraded_2x,3,256,0.46627604166666664,0.8046875,0.12890625,2.0,2039.4890705871753,4078.9781411743506,0.0,0.34390669743143615
gold_oracle,degraded_2x,3,256,0.771875,1.0,0.4375,2.0,865.4245980616537,1730.8491961233074,0.0,0.7199495241163008
random,degraded_5x_timeout,3,256,0.49609375,0.84765625,0.15234375,2.0,3085.9952905331274,6171.990581066255,0.337890625,-0.02695659243198766
latency_aware,degraded_5x_timeout,3,256,0.47890625,0.84375,0.1328125,2.0,1435.5573234628666,2871.1146469257333,0.1875,0.205272810592228
slow,degraded_5x_timeout,3,256,0.46627604166666664,0.8046875,0.12890625,2.0,5086.011041547555,10172.02208309511,0.56640625,-0.40529087082618664
gold_oracle,degraded_5x_timeout,3,256,0.771875,1.0,0.4375,2.0,2203.667106176518,4407.334212353036,0.212890625,0.42676434862940893
